period,feature,missing_rate,n_records
2015-08-01,int_rate,0.0,529
2015-08-01,loan_amnt,0.0,529
2015-09-01,dti,0.0,385
2015-09-01,annual_inc,0.0,385
2015-09-01,int_rate,0.0,385
2015-09-01,loan_amnt,0.0,385
2015-10-01,dti,0.0,684
2015-10-01,annual_inc,0.0,684
2015-10-01,int_rate,0.0,684
2015-10-01,loan_amnt,0.0,684
2015-11-01,dti,0.0,472
2015-11-01,annual_inc,0.0,472
2015-11-01,int_rate,0.0,472
2015-11-01,loan_amnt,0.0,472
2015-12-01,dti,0.0,682
2015-12-01,annual_inc,0.0,682
2015-12-01,int_rate,0.0,682
2015-12-01,loan_amnt,0.0,682
2016-01-01,dti,0.0,1489
2016-01-01,annual_inc,0.0,1489
2016-01-01,int_rate,0.0,1489
2016-01-01,loan_amnt,0.0,1489
2016-02-01,dti,0.0,562
2016-02-01,annual_inc,0.0,562
2016-02-01,int_rate,0.0,562
2016-02-01,loan_amnt,0.0,562
2016-03-01,dti,0.000497,2014
2016-03-01,annual_inc,0.0,2014
2016-03-01,int_rate,0.0,2014
2016-03-01,loan_amnt,0.0,2014
2016-04-01,dti,0.001007,993
2016-04-01,annual_inc,0.0,993
2016-04-01,int_rate,0.0,993
2016-04-01,loan_amnt,0.0,993
2016-05-01,dti,0.001192,839
2016-05-01,annual_inc,0.0,839
2016-05-01,int_rate,0.0,839
2016-05-01,loan_amnt,0.0,839
2016-06-01,dti,0.0,968
2016-06-01,annual_inc,0.0,968
2016-06-01,int_rate,0.0,968
2016-06-01,loan_amnt,0.0,968
2016-07-01,dti,0.0,1283
2016-07-01,annual_inc,0.0,1283
2016-07-01,int_rate,0.0,1283
2016-07-01,loan_amnt,0.0,1283
2016-08-01,dti,0.0,857
2016-08-01,annual_inc,0.0,857
2016-08-01,int_rate,0.0,857
2016-08-01,loan_amnt,0.0,857
2016-09-01,dti,0.0,660
2016-09-01,annual_inc,0.0,660
2016-09-01,int_rate,0.0,660
2016-09-01,loan_amnt,0.0,660
2016-10-01,dti,0.001245,803
2016-10-01,annual_inc,0.0,803
2016-10-01,int_rate,0.0,803
2016-10-01,loan_amnt,0.0,803
2016-11-01,dti,0.0,766
2016-11-01,annual_inc,0.0,766
2016-11-01,int_rate,0.0,766
2016-11-01,loan_amnt,0.0,766
2016-12-01,dti,0.000817,1224
2016-12-01,annual_inc,0.0,1224
2016-12-01,int_rate,0.0,1224
2016-12-01,loan_amnt,0.0,1224
2017-01-01,dti,0.0,859
2017-01-01,annual_inc,0.0,859
2017-01-01,int_rate,0.0,859
2017-01-01,loan_amnt,0.0,859
2017-02-01,dti,0.0,796
2017-02-01,annual_inc,0.0,796
2017-02-01,int_rate,0.0,796
2017-02-01,loan_amnt,0.0,796
2017-03-01,dti,0.00262,1145
2017-03-01,annual_inc,0.0,1145
2017-03-01,int_rate,0.0,1145
2017-03-01,loan_amnt,0.0,1145
2017-04-01,dti,0.008475,472
2017-04-01,annual_inc,0.0,472
2017-04-01,int_rate,0.0,472
2017-04-01,loan_amnt,0.0,472
2017-05-01,dti,0.0,609
2017-05-01,annual_inc,0.0,609
2017-05-01,int_rate,0.0,609
2017-05-01,loan_amnt,0.0,609
2017-06-01,dti,0.003008,1662
2017-06-01,annual_inc,0.0,1662
2017-06-01,int_rate,0.0,1662
2017-06-01,loan_amnt,0.0,1662
2017-07-01,dti,0.003929,1018
2017-07-01,annual_inc,0.0,1018
2017-07-01,int_rate,0.0,1018
2017-07-01,loan_amnt,0.0,1018
2017-08-01,dti,0.002347,852
2017-08-01,annual_inc,0.0,852
2017-08-01,int_rate,0.0,852
2017-08-01,loan_amnt,0.0,852
2017-09-01,dti,0.003226,930
2017-09-01,annual_inc,0.0,930
2017-09-01,int_rate,0.0,930
2017-09-01,loan_amnt,0.0,930
2017-10-01,dti,0.008299,964
2017-10-01,annual_inc,0.0,964
2017-10-01,int_rate,0.0,964
2017-10-01,loan_amnt,0.0,964
2017-11-01,dti,0.004219,948
2017-11-01,annual_inc,0.0,948
2017-11-01,int_rate,0.0,948
2017-11-01,loan_amnt,0.0,948
2017-12-01,dti,0.010063,795
2017-12-01,annual_inc,0.0,795
2017-12-01,int_rate,0.0,795
2017-12-01,loan_amnt,0.0,795
2018-01-01,dti,0.006752,1333
2018-01-01,annual_inc,0.0,1333
2018-01-01,int_rate,0.0,1333
2018-01-01,loan_amnt,0.0,1333
2018-02-01,dti,0.007619,525
2018-02-01,annual_inc,0.0,525
2018-02-01,int_rate,0.0,525
2018-02-01,loan_amnt,0.0,525
2018-03-01,dti,0.00625,640
2018-03-01,annual_inc,0.0,640
2018-03-01,int_rate,0.0,640
2018-03-01,loan_amnt,0.0,640
2018-04-01,dti,0.010782,1484
2018-04-01,annual_inc,0.0,1484
2018-04-01,int_rate,0.0,1484
2018-04-01,loan_amnt,0.0,1484
2018-05-01,dti,0.009479,633
2018-05-01,annual_inc,0.0,633
2018-05-01,int_rate,0.0,633
2018-05-01,loan_amnt,0.0,633
2018-06-01,dti,0.006745,593
2018-06-01,annual_inc,0.0,593
2018-06-01,int_rate,0.0,593
2018-06-01,loan_amnt,0.0,593
2018-07-01,dti,0.016129,744
2018-07-01,annual_inc,0.0,744
2018-07-01,int_rate,0.0,744
2018-07-01,loan_amnt,0.0,744
2018-08-01,dti,0.007551,927
2018-08-01,annual_inc,0.0,927
2018-08-01,int_rate,0.0,927
2018-08-01,loan_amnt,0.0,927
2018-09-01,dti,0.003996,1001
2018-09-01,annual_inc,0.0,1001
2018-09-01,int_rate,0.0,1001
2018-09-01,loan_amnt,0.0,1001
2018-10-01,dti,0.00159,629
2018-10-01,annual_inc,0.0,629
2018-10-01,int_rate,0.0,629
2018-10-01,loan_amnt,0.0,629
2018-11-01,dti,0.00885,565
2018-11-01,annual_inc,0.0,565
2018-11-01,int_rate,0.0,565
2018-11-01,loan_amnt,0.0,565
2018-12-01,dti,0.00565,885
2018-12-01,annual_inc,0.0,885
2018-12-01,int_rate,0.0,885
2018-12-01,loan_amnt,0.0,885
