grade,n_loans,default_rate
A,7400,0.04
B,7400,0.08932432432432433
C,7400,0.14540540540540542
D,7400,0.20256756756756758
E,7400,0.2595945945945946
F,7088,0.34396162528216706
G,5985,0.38863826232247284
