period,grade,auc,n_loans,default_rate
2014-04-01,C,0.595,33,0.2424
2014-04-01,D,0.6486,49,0.2449
2014-04-01,E,0.6441,49,0.2449
2014-04-01,F,0.7755,53,0.3585
2014-04-01,G,0.7273,43,0.2326
2014-05-01,B,0.55,39,0.1026
2014-05-01,C,0.85,36,0.1667
2014-05-01,D,0.5567,37,0.3243
2014-05-01,E,0.5158,29,0.3448
2014-05-01,F,0.5821,41,0.3659
2014-05-01,G,0.5474,29,0.3448
2014-06-01,A,0.8699,44,0.0682
2014-06-01,B,0.6667,27,0.2222
2014-06-01,C,0.9038,43,0.093
2014-06-01,D,0.5885,36,0.25
2014-06-01,E,0.7505,46,0.4565
2014-06-01,F,0.4773,23,0.4783
2014-06-01,G,0.525,22,0.4545
2014-07-01,A,0.8696,47,0.0213
2014-07-01,B,0.2202,59,0.0508
2014-07-01,C,0.6403,69,0.2029
2014-07-01,D,0.6885,67,0.2239
2014-07-01,E,0.6235,57,0.2982
2014-07-01,F,0.571,54,0.3333
2014-07-01,G,0.6171,54,0.4259
2014-08-01,A,0.9556,46,0.0217
2014-08-01,B,0.6,33,0.1515
2014-08-01,C,0.7202,29,0.2759
2014-08-01,D,0.645,33,0.2424
2014-08-01,E,0.5383,42,0.3571
2014-08-01,F,0.6053,49,0.3878
2014-08-01,G,0.6515,69,0.5217
2014-09-01,A,0.6364,25,0.12
2014-09-01,B,0.8095,22,0.0455
2014-09-01,C,0.4762,24,0.125
2014-09-01,D,0.7418,33,0.2121
2014-09-01,E,0.6296,24,0.375
2014-09-01,F,0.4887,30,0.4333
2014-09-01,G,0.5348,53,0.3774
2014-10-01,A,0.6164,96,0.0729
2014-10-01,B,0.706,86,0.1512
2014-10-01,C,0.7206,83,0.1807
2014-10-01,D,0.5739,102,0.2843
2014-10-01,E,0.6573,93,0.3441
2014-10-01,F,0.5693,97,0.4124
2014-10-01,G,0.587,67,0.5821
2014-11-01,A,0.5733,62,0.0645
2014-11-01,B,0.5808,68,0.1029
2014-11-01,C,0.3992,65,0.2154
2014-11-01,D,0.535,56,0.2679
2014-11-01,E,0.61,63,0.3016
2014-11-01,F,0.6504,62,0.3387
2014-11-01,G,0.4151,56,0.4821
2014-12-01,A,0.3636,23,0.0435
2014-12-01,B,0.6,26,0.0385
2014-12-01,C,0.3704,33,0.1818
2014-12-01,E,0.5625,23,0.3043
2014-12-01,G,0.4352,30,0.4
2015-01-01,A,0.4968,223,0.0538
2015-01-01,B,0.5233,228,0.1535
2015-01-01,C,0.5382,232,0.1681
2015-01-01,D,0.5865,233,0.2704
2015-01-01,E,0.5929,225,0.3689
2015-01-01,F,0.5712,231,0.4329
2015-01-01,G,0.5382,175,0.4114
2015-02-01,A,0.626,44,0.0682
2015-02-01,B,0.5053,51,0.0784
2015-02-01,C,0.5211,52,0.2115
2015-02-01,D,0.5892,47,0.2128
2015-02-01,E,0.483,53,0.3585
2015-02-01,F,0.6534,39,0.4615
2015-02-01,G,0.4618,47,0.4681
2015-03-01,A,0.4743,57,0.1228
2015-03-01,B,0.5225,43,0.1395
2015-03-01,C,0.5888,51,0.2745
2015-03-01,D,0.6558,52,0.1154
2015-03-01,E,0.5365,56,0.3214
2015-03-01,F,0.6586,53,0.5283
2015-03-01,G,0.529,51,0.3922
2015-04-01,A,0.5556,74,0.1216
2015-04-01,B,0.4718,77,0.0779
2015-04-01,C,0.4962,63,0.1587
2015-04-01,D,0.5011,65,0.3077
2015-04-01,E,0.5153,59,0.4237
2015-04-01,F,0.5086,75,0.4667
2015-04-01,G,0.5789,70,0.4571
2015-05-01,A,0.7667,79,0.0506
2015-05-01,B,0.4689,66,0.0758
2015-05-01,C,0.5461,58,0.2759
2015-05-01,D,0.5603,59,0.2373
2015-05-01,E,0.5927,65,0.2923
2015-05-01,F,0.6238,62,0.4677
2015-05-01,G,0.5925,78,0.3718
2015-06-01,A,0.1154,54,0.037
2015-06-01,B,0.5938,60,0.0667
2015-06-01,C,0.5422,63,0.2698
2015-06-01,D,0.6097,63,0.2381
2015-06-01,E,0.6329,58,0.3448
2015-06-01,F,0.5954,59,0.5085
2015-06-01,G,0.505,40,0.5
2015-07-01,A,0.5628,80,0.0375
2015-07-01,B,0.5601,82,0.1098
2015-07-01,C,0.5874,89,0.191
2015-07-01,D,0.5698,91,0.2418
2015-07-01,E,0.6399,92,0.2935
2015-07-01,F,0.5391,80,0.45
2015-07-01,G,0.4778,89,0.427
